"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Neobacillus",NA
"ASV2","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Priestia",NA
"ASV3","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV4","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV5","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae",NA,NA
"ASV6","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
"ASV7","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium",NA
"ASV8","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae",NA,NA
"ASV9","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae",NA,NA
"ASV10","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter",NA
"ASV11","Bacteria","Pseudomonadota","Deltaproteobacteria","Myxococcales",NA,NA,NA
"ASV12","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter",NA
"ASV13","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA,NA
"ASV14","Bacteria",NA,NA,NA,NA,NA,NA
"ASV15","Bacteria",NA,NA,NA,NA,NA,NA
"ASV16","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA
"ASV17","Bacteria","Acidobacteriota","Acidobacteria_Gp16","Gp16",NA,NA,NA
"ASV18","Bacteria","Actinomycetota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA
"ASV19","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV20","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae",NA,NA
"ASV21","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV22","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae",NA,NA
"ASV23","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA,NA
"ASV24","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV25","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Microvirga",NA
"ASV26","Bacteria","Acidobacteriota","Acidobacteria_Gp1","Gp1",NA,NA,NA
"ASV27","Bacteria",NA,NA,NA,NA,NA,NA
"ASV28","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Intrasporangiaceae",NA,NA
"ASV29","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","japonica"
"ASV30","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"ASV31","Bacteria","Acidobacteriota","Acidobacteria_Gp1","Gp1",NA,NA,NA
"ASV32","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV33","Bacteria","Bacillota","Bacilli","Caryophanales","Alicyclobacillaceae","Tumebacillus",NA
"ASV34","Bacteria","Acidobacteriota","Acidobacteria_Gp1","Gp1",NA,NA,NA
"ASV35","Bacteria",NA,NA,NA,NA,NA,NA
"ASV36","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV37","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV38","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV39","Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA
"ASV40","Bacteria","Actinomycetota","Actinobacteria",NA,NA,NA,NA
"ASV41","Bacteria",NA,NA,NA,NA,NA,NA
"ASV42","Bacteria","Actinomycetota","Actinobacteria","Streptosporangiales",NA,NA,NA
"ASV43","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"ASV44","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA
"ASV45","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter",NA
"ASV46","Bacteria",NA,NA,NA,NA,NA,NA
"ASV47","Bacteria","Actinomycetota","Thermoleophilia",NA,NA,NA,NA
"ASV48","Bacteria","Actinomycetota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA
"ASV49","Bacteria","Pseudomonadota","Betaproteobacteria","Nitrosomonadales",NA,NA,NA
"ASV50","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Conexibacteraceae","Conexibacter",NA
"ASV51","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae","Niallia",NA
"ASV52","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium",NA
"ASV53","Bacteria","Actinomycetota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ASV54","Bacteria","Verrucomicrobiota","Spartobacteria",NA,NA,NA,NA
"ASV55","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Mycobacteriaceae","Mycobacterium",NA
"ASV56","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV57","Bacteria","Actinomycetota","Actinobacteria",NA,NA,NA,NA
"ASV58","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASV59","Bacteria","Pseudomonadota","Deltaproteobacteria",NA,NA,NA,NA
"ASV60","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV61","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV62","Bacteria","Bacillota","Bacilli","Caryophanales",NA,NA,NA
"ASV63","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium",NA
"ASV64","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter",NA
"ASV65","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Hyphomicrobium",NA
"ASV66","Bacteria","Actinomycetota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA
"ASV67","Bacteria",NA,NA,NA,NA,NA,NA
"ASV68","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV69","Bacteria","Actinomycetota","Actinobacteria","Geodermatophilales","Geodermatophilaceae",NA,NA
"ASV70","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV71","Bacteria","Acidobacteriota","Acidobacteria_Gp1","Gp1",NA,NA,NA
"ASV72","Bacteria","Pseudomonadota","Gammaproteobacteria","Nevskiales","Steroidobacteraceae","Povalibacter","uvarum"
"ASV73","Bacteria","Acidobacteriota","Acidobacteria_Gp16","Gp16",NA,NA,NA
"ASV74","Bacteria","Actinomycetota","Actinobacteria","Jatrophihabitantales","Jatrophihabitantaceae","Jatrophihabitans","endophyticus"
"ASV75","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV76","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Pseudolabrys",NA
"ASV77","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV78","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Intrasporangiaceae","Terrabacter",NA
"ASV79","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia",NA
"ASV81","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae",NA,NA
"ASV82","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Conexibacteraceae","Conexibacter",NA
"ASV83","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV84","Bacteria","Acidobacteriota","Acidobacteria_Gp1","Gp1",NA,NA,NA
"ASV85","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV86","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV87","Bacteria","Bacillota","Bacilli","Caryophanales","Alicyclobacillaceae","Tumebacillus",NA
"ASV88","Bacteria","Pseudomonadota","Deltaproteobacteria","Myxococcales","Myxococcaceae",NA,NA
"ASV89","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales",NA,NA,NA
"ASV90","Bacteria","Actinomycetota","Thermoleophilia",NA,NA,NA,NA
"ASV91","Bacteria","Pseudomonadota","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geomonas",NA
"ASV92","Bacteria","Actinomycetota","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",NA
"ASV93","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV94","Bacteria","Acidobacteriota","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV96","Bacteria","Actinomycetota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis",NA
"ASV97","Bacteria","Pseudomonadota","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Acidibacter",NA,NA
"ASV98","Bacteria",NA,NA,NA,NA,NA,NA
"ASV99","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium",NA
"ASV100","Bacteria","Bacillota","Bacilli","Caryophanales","Alicyclobacillaceae","Tumebacillus",NA
