ASV	Kingdom	Phylum	Class	Order	Family	Genus	gillis_1_1.filt.fastq.gz	gillis_10_1.filt.fastq.gz	gillis_11_1.filt.fastq.gz	gillis_12_1.filt.fastq.gz	gillis_13_1.filt.fastq.gz	gillis_14_1.filt.fastq.gz	gillis_15_1.filt.fastq.gz	gillis_16_1.filt.fastq.gz	gillis_17_1.filt.fastq.gz	gillis_18_1.filt.fastq.gz	gillis_19_1.filt.fastq.gz	gillis_2_1.filt.fastq.gz	gillis_20_1.filt.fastq.gz	gillis_3_1.filt.fastq.gz	gillis_4_1.filt.fastq.gz	gillis_5_1.filt.fastq.gz	gillis_6_1.filt.fastq.gz	gillis_7_1.filt.fastq.gz	gillis_8_1.filt.fastq.gz	gillis_9_1.filt.fastq.gz
ASV1	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Neobacillus	345	470	206	584	661	230	416	69	435	167	477	205	227	620	488	458	291	99	412	277
ASV10	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	26	13	27	21	35	11	23	14	24	16	21	0	14	24	11	16	20	10	26	26
ASV100	Bacteria	Bacillota	Bacilli	Caryophanales	Alicyclobacillaceae	Tumebacillus	0	0	68	0	0	0	119	18	0	0	81	38	66	0	109	71	0	0	0	0
ASV1000	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	51	0	0
ASV1001	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	0	0	0	0	0	0	0	0	0	0	30	0	31	0	0	0	0	0	0	0
ASV1002	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0
ASV1003	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	20	0	0
ASV1004	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	45
ASV1005	Bacteria	Acidobacteriota	Acidobacteria_Gp3	Gp3	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0
ASV1006	Bacteria	Acidobacteriota	Acidobacteria_Gp6	Gp6	NA	NA	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1007	Bacteria	Acidobacteriota	Acidobacteria_Gp6	Gp6	NA	NA	0	35	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1008	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavitalea	0	23	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	23	0	0
ASV1009	Bacteria	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV101	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	NA	NA	72	36	16	39	30	53	23	0	51	0	0	0	0	0	37	0	65	64	33	49
ASV1010	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Singulisphaera	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV1011	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Tsuneonella	0	0	8	23	17	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
ASV1012	Bacteria	Acidobacteriota	Acidobacteria_Gp1	Gp1	NA	NA	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0
ASV1013	Bacteria	Actinomycetota	Thermoleophilia	NA	NA	NA	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	42	0
ASV1014	Bacteria	Pseudomonadota	Gammaproteobacteria	Nevskiales	Steroidobacteraceae	Steroidobacter	15	0	0	0	0	10	0	0	0	0	0	0	0	0	13	0	0	0	0	22
ASV1015	Bacteria	Acidobacteriota	Acidobacteria_Gp4	Gp4	NA	NA	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0
ASV1016	Bacteria	Latescibacteria	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	15	0	0	0	0
ASV1017	Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0
ASV1018	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	36	0	0
ASV1019	Bacteria	Bacillota	Bacilli	Caryophanales	Paenibacillaceae	Brevibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	41
ASV102	Bacteria	Actinomycetota	Thermoleophilia	NA	NA	NA	38	27	32	40	41	38	45	0	28	49	27	18	23	0	44	0	41	25	23	18
ASV1020	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0
